,course,rating,students,level,university,skills
2700,Corporate Finance Essentials,4.8,74.0,Mixed,IESE Business School,Java
2701,Air Pollution – a Global Threat to our Health,4.8,19.0,Beginner,University of Copenhagen,Java
2702,Finanzas Corporativas,4.7,17.0,Beginner,Universidad Austral,Java
2703,Programming in C#: A comprehensive approach to C# Fundamentals,4.5,5.1,Beginner,Coursera Project Network,Java
2704,"Create video, audio and infographics for online learning",4.5,,Beginner,Macquarie University,Java
2705,Anticoncepción hormonal al alcance de todos,4.7,4.9,Beginner,Universitat Autònoma de Barcelona,Java
2706,Competencias y habilidades esenciales en el entorno digital,,,Beginner,Radio y Televisión Española,Java
2707,Corporate Finance Essentials II,4.8,3.3,Intermediate,IESE Business School,Java
2708,Online teaching: Using Zoom to connect with learners,4.6,,Beginner,Macquarie University,Java
2709,Design and Build a Data Warehouse for Business Intelligence Implementation,4.6,8.8,Mixed,University of Colorado System,Java
2710,Aprendiendo Python con estadística descriptiva,4.7,,Beginner,Coursera Project Network,Java
2711,"Business Intelligence Concepts, Tools, and Applications",4.5,40.0,Mixed,University of Colorado System,Java
2712,Increasing Real Estate Management Profits: Harnessing Data Analytics,4.7,13.0,Mixed,Duke University,Java
2713,데이터 중심 기업을 위한 비즈니스 지표,,,Mixed,Duke University,Java
2714,Fundamentos do Google para o Ensino,4.7,16.0,Mixed,Fundação Lemann,Java
2715,Clase interactivas y dinámicas en Classroom,4.9,,Beginner,Coursera Project Network,Java
2716,Foundations of International Psychiatry,4.6,12.0,Advanced,The University of Melbourne,Java
2717,مقاييس الأعمال للشركات التي تعتمد على البيانات,4.5,,Mixed,Duke University,Java
2718,Posicionamiento en redes: estrategias de contenido.,,,Beginner,Radio y Televisión Española,Java
2719,"""Espace mondial"" الرؤية الفرنسية للدراسات العالمية",4.7,2.1,Mixed,Sciences Po,Java
2720,Introducción a la Programación con C#,,,Beginner,Coursera Project Network,Java
2721,Aprendiendo Python con bases de datos,4.7,,Beginner,Coursera Project Network,Java
2722,Lucidchart: Mapas conceptuales y mentales dinámicos.,,,Beginner,Coursera Project Network,Java
2723,Aprendiendo Python con álgebra lineal,4.6,,Beginner,Coursera Project Network,Java
2724,Aprendiendo Python con circuitos digitales,4.8,,Beginner,Coursera Project Network,Java
2725,Jamboard tablero virtual para sus clases interactivas,,,Beginner,Coursera Project Network,Java
2726,Gestion de la mémoire avec la programmation C,,,Intermediate,Coursera Project Network,Java
2727,Indices de base de données expliqués,,,Intermediate,Coursera Project Network,Java
2728,"Aprendiendo Python con textos, números y ecuaciones",4.8,,Beginner,Coursera Project Network,Java
2729,Explorando funciones cuadráticas con Python,,,Beginner,Coursera Project Network,Java
2730,"Gestão de Captação, Recompensas, Remuneração e Diversidade",,,Beginner,Fundação Instituto de Administração,Java
2731,Explorando funciones lineales con Python,,,Beginner,Coursera Project Network,Java
2732,Utilisation et gestion des pointeurs avec la Programmation C,,,Intermediate,Coursera Project Network,Java
2733,Principes de base de l'invite de commande de Windows,,,Intermediate,Coursera Project Network,Java
2734,"Comprendre, gérer et exploiter des fichiers d'en-tête avec la C",,,Intermediate,Coursera Project Network,Java
2735,Configuration de votre IDE pour les débutants avec IntelliJ,,,Beginner,Coursera Project Network,Java
2736,Gestão de Recursos Humanos,,,Beginner,Fundação Instituto de Administração,Java
2737,إنشاء تعابير لامدا باستخدام برنامج جافا,,,Intermediate,Coursera Project Network,Java
2738,ربط وحفظ المعلومات في تطبيق أندرويد باستخدام جافا وسيكويل,,,Intermediate,Coursera Project Network,Java
2739,دعم تطبيقك بخدمات الموقع باستخدام جافا وأندرويد ستوديو,,,Intermediate,Coursera Project Network,Java
2740,تسجيل الدخول أو إنشاء حساب على فيسبوك باستخدام جافا وأندرويد,,,Intermediate,Coursera Project Network,Java
2741,Natural Language Processing with Classification and Vector Spaces,4.6,100.0,Intermediate,DeepLearning.AI,Java
2742,Organizational Change and Culture for Adopting Google Cloud,4.7,64.0,Beginner,Google Cloud,Java
2743,Natural Language Processing with Probabilistic Models,4.7,43.0,Intermediate,DeepLearning.AI,Java
2744,Natural Language Processing with Attention Models,4.3,37.0,Intermediate,DeepLearning.AI,Java
2745,Natural Language Processing with Sequence Models,4.5,37.0,Intermediate,DeepLearning.AI,Java
2746,Interactive Computer Graphics,4.1,66.0,Intermediate,The University of Tokyo,Java
2747,Creating New BigQuery Datasets and Visualizing Insights,4.6,20.0,Beginner,Google Cloud,Java
2748,Achieving Advanced Insights with BigQuery,4.7,16.0,Beginner,Google Cloud,Java
2749,Business Transformation with Google Cloud,4.7,33.0,Beginner,Google Cloud,Java
2750,Business Transformation with Google Cloud 中文,,,Beginner,Google Cloud,Java
2751,Networking in Google Cloud: Defining and Implementing Networks 日本語版,,,Intermediate,Google Cloud,Java
2752,Google Sheets 日本語版,,,Beginner,Google Cloud,Java
2753,Google Slides 日本語版,,,Beginner,Google Cloud,Java
2754,From Data to Insights with Google Cloud,4.6,59.0,Beginner,Google Cloud,Java
2755,Networking in Google Cloud 日本語版,4.5,7.9,Intermediate,Google Cloud,Java
2756,Getting Started with Google Kubernetes Engine en Español,4.5,3.5,Intermediate,Google Cloud,Java
2757,Stratégies de communication à l’ère du virtuel,,,Beginner,University of Toronto,Java
2758,Стратегии коммуникации в виртуальную эпоху,,,Beginner,University of Toronto,Java
2759,Kommunikationsstrategien für ein virtuelles Zeitalter,,,Beginner,University of Toronto,Java
2760,Getting Started with Google Workspace 日本語版,,,Beginner,Google Cloud,Java
2761,Preparing for Google Cloud Certification: Cloud Architect,4.7,610.0,Intermediate,Google Cloud,Java
2762,Preparing for Google Cloud Certification: Cloud Engineer,4.7,610.0,Intermediate,Google Cloud,Java
2763,Architecting with Google Kubernetes Engine,4.7,580.0,Beginner,Google Cloud,Java
2764,Preparing for Google Cloud Certification: Cloud Security Engineer,4.7,590.0,Intermediate,Google Cloud,Java
2765,Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.7,650.0,Beginner,Google Cloud,Java
2766,Preparing for Google Cloud Certification: Cloud Network Engineer,4.7,580.0,Intermediate,Google Cloud,Java
2767,Networking in Google Cloud,4.7,580.0,Intermediate,Google Cloud,Java
2768,Security in Google Cloud,4.7,580.0,Intermediate,Google Cloud,Java
2769,ما هي وسائل التواصل الاجتماعي؟,,,Mixed,Northwestern University,Java
2770,Preparing for the Google Cloud Professional Cloud Architect Exam em Português Brasileiro,4.8,,Advanced,Google Cloud,Java
2771,¿Qué son los medios sociales?,,,Mixed,Northwestern University,Java
2772,Preparing for the Google Cloud Professional Cloud Architect Exam en Español,,,Advanced,Google Cloud,Java
2773,Global Diplomacy: the United Nations in the World,4.7,56.0,Beginner,University of London,Java
2774,Architecting with Google Compute Engine bahasa Indonesia,4.9,3.9,Intermediate,Google Cloud,Java
2775,Architecting with Google Compute Engine 한국어,,,Intermediate,Google Cloud,Java
2776,Architecting with Google Compute Engine auf Deutsch,4.6,,Intermediate,Google Cloud,Java
2777,Preparing Cloud Professional Cloud Architect Exam italiano,,,Advanced,Google Cloud,Java
2778,DeepLearning.AI TensorFlow Developer,4.7,330.0,Intermediate,DeepLearning.AI,Java
2779,Data Analysis and Presentation Skills: the PwC Approach,4.6,280.0,Beginner,PwC,Java
2780,Entrepreneurial Finance: Strategy and Innovation,4.5,46.0,Intermediate,Duke University,Java
2781,Social Media Marketing,4.6,190.0,Beginner,Northwestern University,Java
2782,Google Cloud Fundamentals: Core Infrastructure,4.7,580.0,Intermediate,Google Cloud,Java
2783,Architecting with Google Compute Engine in italiano,,,Intermediate,Google Cloud,Java
2784,Serverless Machine Learning with Tensorflow on Google Cloud em Português Brasileiro,4.4,,Intermediate,Google Cloud,Java
2785,Positive Psychology Specialization Project: Design Your Life for Well-being,4.8,19.0,Mixed,University of Pennsylvania,Java
2786,Applying Machine Learning to your Data with GCP,4.7,16.0,Intermediate,Google Cloud,Java
2787,The Politics of Skepticism,4.5,7.6,Intermediate,Erasmus University Rotterdam,Java
2788,Leveraging Unstructured Data with Cloud Dataproc on Google Cloud em Português Brasileiro,4.6,,Intermediate,Google Cloud,Java
2789,Serverless Machine Learning with Tensorflow on Google Cloud auf Deutsch,,,Intermediate,Google Cloud,Java
2790,Foundations of Positive Psychology,4.8,140.0,Beginner,University of Pennsylvania,Java
2791,Управление анализом данных,,,Mixed,Johns Hopkins University,Java
2792,Gestion de l’analyse des données,,,Mixed,Johns Hopkins University,Java
2793,Google Cloud Fundamentals: Core Infrastructure 한국어,,,Intermediate,Google Cloud,Java
2794,Datenanalyse verwalten,,,Mixed,Johns Hopkins University,Java
2795,Business Foundations,4.7,670.0,Beginner,University of Pennsylvania,Java
2796,Introduction to Finance and Accounting,4.6,410.0,Beginner,University of Pennsylvania,Java
2797,Data Science: Foundations using R,4.6,,Beginner,Johns Hopkins University,Java
2798,Interaction Design,4.5,200.0,Intermediate,University of California San Diego,Java
2799,Organizational Leadership,4.7,140.0,Intermediate,Northwestern University,Java
2800,Mercados financeiros,5.0,4.1,Beginner,Yale University,Java
2801,Executive Data Science,4.5,230.0,Beginner,Johns Hopkins University,Java
2802,Mercados financieros,4.9,14.0,Beginner,Yale University,Java
2803,Marchés financiers,4.4,,Beginner,Yale University,Java
2804,Google Cloud Fundamentals: Core Infrastructure dalam bahasa Indonesia,4.9,3.2,Intermediate,Google Cloud,Java
2805,Финансовые рынки,4.9,1.9,Beginner,Yale University,Java
2806,الأسواق المالية,,,Beginner,Yale University,Java
2807,Deep Learning,4.8,1200.0,Intermediate,DeepLearning.AI,Java
